Town,Median_Price,Avg_Price,Transaction_Count,Flip_Rate,Avg_Days_To_Sell,Avg_YoY_Growth,Recent_Momentum,score_growth,score_momentum,score_flip,score_days,Investment_Score,Rank
Ashford,167000.0,183319.31194039734,1510,0.04768211920529802,467.8847682119205,40.2553267659547,9.768221231599556,1.0,0.5235541003028099,0.582660487999435,0.36794737956227763,0.6788,1
Sterling,185000.0,198192.09013157894,1520,0.06776315789473684,462.26644736842104,15.953073763718619,13.401486010228366,0.374109258017079,0.6174014811739205,0.9999999999999999,0.5865356285294787,0.6041,2
Hampton,180000.0,191917.57434402333,686,0.033527696793002916,461.52623906705537,24.620778551451888,14.6213972266105,0.5973410785558632,0.6489118388076849,0.2884924505012624,0.6153344175224085,0.5537,3
Franklin,200000.0,225492.78897637795,635,0.04409448818897638,460.0992125984252,9.43641810234045,22.080677340781204,0.20627648766562656,0.8415853554796713,0.5080995949726608,0.6708547812924159,0.5269,4
Waterbury,125000.0,143484.7210197069,34049,0.05876824576345854,458.06287996710626,5.070675621324581,16.4123768000832,0.09383926628956883,0.6951729159393947,0.8130608532052704,0.7500810121527977,0.5165,5
Hartford,148000.0,187988.7256121259,20584,0.06456471045472212,457.22624368441507,4.48135150158841,12.732023239917979,0.07866155784680984,0.6001092298758859,0.9335274178582588,0.7826314600802213,0.5117,6
Eastford,190000.0,190493.31411229135,659,0.03186646433990895,456.55842185128984,22.812248225369167,5.912906203101783,0.5507634057949723,0.42397115221002224,0.25396744649047087,0.8086139571983431,0.492,7
Putnam,167000.0,186074.5364624768,3771,0.06337841421373641,452.4396711747547,4.445310936806409,6.359619001530532,0.07773335354283792,0.4355097624375884,0.9088729016274096,0.968859433274698,0.485,8
Meriden,158000.0,168428.0025276829,19326,0.06157508020283556,459.5103487529753,3.9136549927612854,13.131842756139628,0.06404085625596434,0.6104365846668893,0.8713946343065465,0.6937653128271037,0.4839,9
Cornwall,277700.0,359635.86689754686,693,0.046176046176046176,461.7128427128427,20.41385180286908,3.180231483728268,0.4889940662893042,0.3533860501567975,0.551360125862503,0.6080743543612321,0.4786,10
Sprague,168950.0,179577.69610091744,872,0.051605504587155966,456.6961009174312,6.930003766397458,11.975282928058444,0.14172520806633804,0.5805625960369927,0.6641992851691197,0.803257369914423,0.4771,11
Canterbury,182000.0,194779.2828040743,1669,0.050928699820251645,456.4619532654284,6.176209529182518,13.018615611762549,0.12231166503436076,0.6075119228019441,0.650133410614132,0.8123671959063437,0.4769,12
Killingly,167000.0,180048.676474729,7103,0.06447979726875967,460.20934816274814,3.9688920787520354,10.22873936640699,0.06546345607551785,0.5354493029452216,0.9317626870522465,0.6665698106001088,0.4699,13
Plainfield,168000.0,181835.50935904708,5289,0.05955757231990925,460.7133673662318,4.318926897326884,12.051856232757913,0.07447840429029905,0.5825404876932685,0.8294652416919811,0.6469602727676786,0.4638,14
Norwich,146187.0,160968.26737733645,13696,0.06089369158878505,460.6309871495327,2.9397260946977446,12.367708919433063,0.03895786989286826,0.5906989757726187,0.8572334947326191,0.6501653847253976,0.4598,15
Bridgeport,165000.0,193826.16779304933,39507,0.05201609841293948,456.0980838838687,4.7415908958831965,11.427402425593908,0.08536387584067497,0.5664108197918136,0.6727325602418409,0.8265240184131883,0.4583,16
New Britain,149900.0,167860.12619384006,17695,0.05815202034473015,458.82910426674204,3.99903916428513,11.040289367649924,0.06623987716417967,0.5564116733484432,0.8002539850192286,0.720270036126518,0.4582,17
Torrington,145000.0,160731.26173633442,15550,0.053247588424437296,459.6390996784566,3.9252879761021777,13.547141587485218,0.06434045714375182,0.6211637708135938,0.6983263279936242,0.6887560867366389,0.4518,18
West Haven,180000.0,199016.78537510306,14556,0.05990656773838967,463.2815333882935,3.9842815805990326,11.78821556708049,0.06585980396675568,0.5757306382954275,0.8367183315291943,0.547042356105969,0.4452,19
East Hartford,153000.0,162506.197942068,14845,0.06156955203772314,464.21407881441564,3.8947246221562093,10.894236584844013,0.06355331529822134,0.5526391238728597,0.8712797437490433,0.5107604353227764,0.4389,20
Windham,135000.0,145177.34573455615,5779,0.054853780930956914,464.86814327738364,4.075306822240655,14.713316591796266,0.06820410743627384,0.6512861198468101,0.7317074497182888,0.4853131869981695,0.4384,21
Salem,229000.0,243434.4352601156,1730,0.051445086705202314,461.4335260115607,8.756692234204873,8.429062179062184,0.18877053346816108,0.488963566084189,0.6608653579950284,0.6189415423238387,0.4378,22
Brooklyn,196000.0,205595.59074259075,3003,0.05028305028305028,464.014319014319,5.700151944995761,14.292155675920817,0.11005107197058882,0.6404075158120373,0.6367150278827286,0.5185323561748376,0.4358,23
Hartland,200000.0,208675.18511796734,551,0.02722323049001815,465.03629764065334,4.89455272820175,28.213638570090183,0.08930332107302101,1.0,0.15746820763202085,0.47877091772462776,0.4346,24
Ansonia,205000.0,210926.75582307254,5279,0.05910210267096041,461.2284523584012,3.3838443509954796,9.846814472668925,0.0503958836826504,0.525584166999825,0.8199993229233794,0.6269202057006886,0.4334,25
